Stefano,Bruno,SS3-1,19,
Sergei,Kucherenko,SS14-3,70,
Damir,Ferizović,CS2-4,36,
Kateryna,Pozharska,SS5-2,107,
Mathias,Sonnleitner,SS6-3,125,
Håkon,Hoel,SS21-2,52,
Ankit,Gupta,SS16-3,43,
Hye-Won,Kang,SS15-1,60,
Ian,Sloan,SS11-1,122,
Ben,Adcock,SS6-1,1,
Christopher,Rauhögger,SS4-1,110,
Fabian,Taubert,SS6-4,132,
Jun,Luo,CS10-1,79,
Joonha,Park,CS12-1,105,
Chuntao,Chen,CS11-2,22,
Weiwen,Mo,SS18-3,89,
Vishnupriya,Anupindi,CS1-3,6,
Laura,Scarabosio,SS19-1,117,
Łukasz,Stepien,SS4-2,129,
Michael,Choi,SS1-1,23,
Thomas,Jahn,SS7-2,57,
Nicolas,Nagel,SS5-3,94,
Michał,Sobieraj,CS3-1,123,
Charly,Andral,CS5-4,5,
Simon,Ellinger,SS4-3,32,
Jiarui,Du,CS12-2,30,
Max,Hird,CS6-2,51,
Arne,Bouillon,CS11-3,17,
Astrid,Herremans,CS9-1,49,
Zhijian,He,SS14-4,47,
Ayoub,Belhadji,SS7-1,10,
Bjoern,Sprungk,CS6-1,127,
Zheyang,Shen,SS2-3,118,
André-Alexander,Zepernick,SS12-4,149,
Emil,Løvbak,SS21-3,78,
Romain,Espoeys,SS20-3,34,
Xun,Huan,SS10-2,54,
Michael,Giles,SS22-3,40,
Yunfeng,Xiong,CS4-3,146,
Shyam Mohan,Subbiah Pillai,SS20-2,130,
Sophia,Wiechert,SS15-2,140,
Miika,Kailas,CS7-3,59,
Dirk,Nuyens,SS12-1,99,
Laurence,Wilkes,SS8-4,141,
Klaus,Ritter,SS3-3,111,
Ning,Ning,SS1-3,97,
Hozumi,Morohosi,CS1-2,90,
Sanket,Agrawal,CS7-2,3,
Pierre,L'Ecuyer,SS23-2,72,
Anastasia,Istratuca,SS21-1,55,
Peter,Kritzer,CS2-3,68,
Shin,Harase,CS12-3,45,
Matthew,Li,CS8-3,76,
Jiefei,Yang,CS10-2,148,
Muruhan,Rathinam,SS16-1,109,
Chiheb,Ben Hammouda,SS16-2,13,
Michael,Samet,SS14-1,116,
Laura,Weidensager,SS24-2,138,
Philippe,Blondeel,CS5-3,14,
Pieterjan,Robbe,SS9-1,112,
Aleksei,Sorokin,SS10-1,126,
Sifan,Liu,SS14-2,77,
Christian,Weiss,CS2-2,139,
Kosuke,Suzuki,SS8-3,131,
Vesa,Kaarnioja,SS18-4,58,
Fabio,Nobile,SS22-1,98,
Silei,Song,CS3-3,124,
Abirami,Srikumar,SS12-2,128,
Stefan,Heinrich,SS5-1,48,
Leon,Wilkosz,CS5-2,142,
Leszek,Plaskota,CS4-1,106,
Alessandro,Mastrototaro,CS8-4,84,
Kristin,Kirchner,CS3-2,64,
Winfried,Sickel,SS6-2,119,
Robin,Rüßmann,SS24-3,114,
Philipp,Guth,SS13-1,44,
Elliot,Addy,SS18-2,2,
Aretha,Teckentrup,SS19-3,133,
Jon,Cockayne,SS2-2,24,
Filippo,De Angelis,SS22-2,27,
Francois-Xavier,Briol,SS2-1,18,
Xiaotian,Zhu,CS10-3,151,
Michael,Mascagni,SS23-1,83,
Eya,Ben Amar,SS20-1,12,
Federica,Milinanni,SS1-2,87,
Sebastian,Krumscheid,SS18-1,69,
Laura,Bazahica,SS12-3,9,
Florian,Maire,CS8-2,81,
Ilhem,Bouderbala,CS12-4,16,
Michael,McCourt,SS9-2,86,
Victor,Ostromoukhov,CS1-4,102,
Ilja,Klebanov,SS11-4,66,
Alex,Keller,CS8-1,61,
Rocco,Caprio,CS6-3,20,
Svetlana,Dubinkina,SS17-3,31,
Andrea,Barth,SS19-2,7,
Jonas,Latz,SS17-1,74,
Xiaoqun,Wang,CS2-1,137,
Fabio,Musco,SS13-3,93,
Hwanwoo,Kim,CS6-4,63,
Hassan,Maatouk,CS9-2,80,
Sascha,Holl,CS7-1,53,
Michael,Gnewuch,SS24-1,41,
Jun,Xian,CS5-1,144,
Marcin,Wnuk,SS17-4,143,
Asaki,Saito,SS23-4,115,
Vishwas,Rao,SS10-3,108,
Daniel,Rudolf,SS5-4,113,
Josef,Dick,SS8-1,29,
Tino,Ullrich,SS7-3,135,
Arved,Bartuska,SS13-4,8,
Cameron,Bell,SS1-4,11,
Helmut,Harbrecht,SS13-2,46,
John,Miller,SS9-3,88,
Nathan,Kirk,CS1-1,65,
Ambrose,Emmett-Iwaniw,CS4-2,33,
Chris,Oates,SS11-3,100,
Fred,Hickernell,SS8-2,50,
Steffen,Dereich,SS3-2,#N/A,not coming
Michael,Feischl,SS19-3,#N/A,cancelled
Meltem,Sonmez Turan,SS23-3,#N/A,? Need to check
Josef,Martínek,SS21-4,82,
Frank,Van der Meulen,SS15-3,136,
Robert,Gruhlke,SS11-2,#N/A,registered
Othmane,Kortbi,CS9-3,#N/A,emailed
Alexandre,Bouchard-Cote,SS17-2,15,
Dinh,Dũng,,#N/A,
Miguel,Alvarez Ballesteros,CS11-1,4,
