SessionTime,SessionTitle,Room,Chair,join_key
"Mon, Jul 28 08:00–17:30",Registration Desk Open,HH Lobby,,
"Mon, Jul 28 08:45–09:00",Conference Opening,HH Auditorium,Fred Hickernell,
"Mon, Jul 28 09:00–10:00",Plenary Talk by Rohan Sawhney,HH Auditorium,Michael Mascagni,rohan sawhney
"Mon, Jul 28 10:00–10:30",Coffee Break,HH Lobby,,
"Mon, Jul 28 10:30–12:30","Track A: Stochastic Computation and Complexity, Part I",HH Auditorium,Stefan Heinrich,stochastic computation and complexity part i
"Mon, Jul 28 10:30–12:30",Track B: Domain Uncertainty Quantification,HH Ballroom,André-Alexander Zepernick,domain uncertainty quantification
"Mon, Jul 28 10:30–12:30","Track C: Nested expectations: models and estimators, Part I",PH Auditorium,Arved Bartuska,nested expectations models and estimators part i
"Mon, Jul 28 10:30–12:30","Track D: Hardware or Software for (Quasi-)Monte Carlo Algorithms, Part I",WH Auditorium,Sou-Cheng Choi,hardware or software for quasi monte carlo algorithms part i
"Mon, Jul 28 10:30–12:30",Track E: Technical Session 1 - Markov Chain Monte Carlo,HH Alumni Lounge,Philip Gagnon,technical session 1
"Mon, Jul 28 12:30–14:00",Lunch Break,MTCC Commons,,
"Mon, Jul 28 14:00–15:00","Plenary Talk by Christiane Lemieux, U of Waterloo, Golden ratio nets and sequences",HH Auditorium,Nathan Kirk,christiane lemieux
"Mon, Jul 28 15:00–15:30",Coffee Break,HH Lobby,,
"Mon, Jul 28 15:30–17:30","Track F: Stochastic Computation and Complexity, Part II",HH Auditorium,Larisa Yaroslavtseva,stochastic computation and complexity part ii
"Mon, Jul 28 15:30–17:30",Track G: Recent advances in optimization under uncertainty,HH Ballroom,Phillip A. Guth,recent advances in optimization under uncertainty
"Mon, Jul 28 15:30–17:30",Track H: Computational Methods for Low-discrepancy Sampling and Applications,PH Auditorium,Nathan Kirk,computational methods for low discrepancy sampling and applications
"Mon, Jul 28 15:30–17:30","Track I: Technical Session 4 - Quasi-Monte Carlo, Part 1",WH Auditorium,Peter Kritzer,technical session 4
"Mon, Jul 28 15:30–17:30",Track J: Technical Session 12 - PDEs,HH Alumni Lounge,Håkon Hoel,technical session 12
"Mon, Jul 28 17:30–19:30",Welcome Reception,HH Lobby,,
