SessionTime,SessionTitle,join_key
"Monday, July 28 09:00–10:00",Plenary Talk by Matt Pharr,matt pharr
"Monday, July 28 10:30–12:30 Track A","Stochastic Computation and Complexity, Part I","stochastic computation and complexity, part i"
"Monday, July 28 10:30–12:30 Track B",Domain Uncertainty Quantification,domain uncertainty quantification
"Monday, July 28 10:30–12:30 Track C","Nested expectations: models and estimators, Part I","nested expectations: models and estimators, part i"
"Monday, July 28 10:30–12:30 Track D",Hardware or Software for (Quasi-)Monte Carlo Algorithms,hardware or software for (quasi-)monte carlo algorithms
"Monday, July 28 10:30-12:30 Track E",Technical Session 1 - Markov Chain Monte Carlo,technical session 1
"Monday, July 28 14:00–15:00",Plenary Talk by Christiane Lemieux,christiane lemieux
"Monday, July 28 15:30–17:30 Track F","Stochastic Computation and Complexity, Part II","stochastic computation and complexity, part ii"
"Monday, July 28 15:30–17:30 Track G",Recent advances in optimization under uncertainty,recent advances in optimization under uncertainty
"Monday, July 28 15:30–17:30 Track H",Technical Session 12 - PDEs,technical session 12
"Monday, July 28 15:30–17:30 Track I",Computational Methods for Low-discrepancy Sampling and Applications,computational methods for low-discrepancy sampling and applications
"Monday, July 28 15:30-17:30 Track J","Technical Session 4 - Quasi-Monte Carlo, Part 1",technical session 4
"Tuesday, July 29 09:00–10:00",Plenary Talk by Peter Glynn,peter glynn
"Tuesday, July 29 10:30–12:30 Track A","Stochastic Computation and Complexity, Part III","stochastic computation and complexity, part iii"
"Tuesday, July 29 10:30–12:30 Track B","Next-generation optimal experimental design: theory, scalability, and real world impact: Part I","next-generation optimal experimental design: theory, scalability, and real world impact: part i"
"Tuesday, July 29 10:30–12:30 Track C",Heavy-tailed Sampling,heavy-tailed sampling
"Tuesday, July 29 10:30–12:30 Track D",Frontiers in (Quasi-)Monte Carlo and Markov Chain Monte Carlo Methods,frontiers in (quasi-)monte carlo and markov chain monte carlo methods
"Tuesday, July 29 10:30-12:30 Track E",Technical Session 2 - Bayesian Methods,technical session 2
"Tuesday, July 29 14:00–15:00",Plenary Talk by Roshan Joseph,roshan joseph
"Tuesday, July 29 15:30–17:30 Track F","Stochastic Computation and Complexity, Part IV","stochastic computation and complexity, part iv"
"Tuesday, July 29 15:30–17:30 Track G","Next-generation optimal experimental design: theory, scalability, and real world impact: Part II","next-generation optimal experimental design: theory, scalability, and real world impact: part ii"
"Tuesday, July 29 15:30–17:30 Track H",Advances in Rare Events Simulation,advances in rare events simulation
"Tuesday, July 29 15:30–17:30 Track I","Technical Session 5 - Quasi-Monte Carlo, Part 2",technical session 5
"Wednesday, July 30 09:00–10:00",Plenary Talk by Michaela Szölgyenyi,michaela szölgyenyi
"Wednesday, July 30 10:30–12:30 Track A","Stochastic Computation and Complexity, Part V","stochastic computation and complexity, part v"
"Wednesday, July 30 10:30–12:30 Track B",Statistical Design of Experiments,statistical design of experiments
"Wednesday, July 30 10:30–12:30 Track C",Advances in Adaptive Hamiltonian Monte Carlo,advances in adaptive hamiltonian monte carlo
"Wednesday, July 30 10:30–12:30 Track D",Technical Session 15 - Simulation,technical session 15
"Wednesday, July 30 10:30-12:30 Track E",Technical Session 6 - Sampling,technical session 6
"Wednesday, July 30 14:00–16:00 Track F",Stochastic Optimization,stochastic optimization
"Wednesday, July 30 14:00–16:00 Track G",Recent Progress on Algorithmic Discrepancy Theory and Applications,recent progress on algorithmic discrepancy theory and applications
"Wednesday, July 30 14:00–16:00 Track H","Monte Carlo Applications in High-performance Computing, Computer Graphics, and Computational Science","monte carlo applications in high-performance computing, computer graphics, and computational science"
"Wednesday, July 30 14:00–16:00 Track I",Technical Session 16 - Statistics,technical session 16
"Wednesday, July 30 14:00–16:00 Track J",Technical Session 10 - Langevin,technical session 10
"Thursday, July 31 09:00–10:00",Plenary Talk by Uros Seljak,uros seljak
"Thursday, July 31 10:30–12:30 Track A",QMC and Applications Part I,qmc and applications part i
"Thursday, July 31 10:30–12:30 Track B","Analysis of Langevin and Related Sampling Algorithms, Part I","analysis of langevin and related sampling algorithms, part i"
"Thursday, July 31 10:30–12:30 Track C",Technical Session 8 - Finance,technical session 8
"Thursday, July 31 10:30–12:30 Track D","Nested expectations: models and estimators, Part II","nested expectations: models and estimators, part ii"
"Thursday, July 31 10:30-12:30 Track E",Technical Session 13 - ML \& Optimization,technical session 13
"Thursday, July 31 14:00–15:00",Plenary Talk by Nicolas Chopin,nicolas chopin
"Thursday, July 31 15:30–17:30 Track F",QMC and Applications Part II,qmc and applications part ii
"Thursday, July 31 15:30–17:30 Track G","Analysis of Langevin and Related Sampling Algorithms, Part II","analysis of langevin and related sampling algorithms, part ii"
"Thursday, July 31 15:30–17:30 Track H",Technical Session 7 - Sampling,technical session 7
"Thursday, July 31 15:30–17:30 Track I",Technical Session 11 - SDEs,technical session 11
"Friday, August 1 9:00–10:30 Track A",Forward and Inverse Problems for Stochastic Reaction Networks,forward and inverse problems for stochastic reaction networks
"Friday, August 1 9:00–10:30 Track B",Technical Session 3 - Simulation,technical session 3
"Friday, August 1 9:00–10:30 Track C",Technical Session 9 - Sampling,technical session 9
"Friday, August 1 9:00–10:30 Track D",Technical Session 14 - Markov Chain Monte Carlo,technical session 14
"Friday, August 1 11:00-12:00",Plenary Talk by Veronika Rockova,veronika rockova
