"Mon, Jul 28","Session","Room","Chair"
"08:00–17:30","Registration Desk Open","HH Lobby",""
"08:45–09:00","Opening Ceremony","HH Auditorium","Fred Hickernell, Nicole Beebe, and Kevin Corlette"
"09:00–10:00","Plenary Talk by Rohan Sawhney, Nvidia Corporation, Monte Carlo Methods in Computer Graphics","HH Auditorium","Michael Mascagni"
"10:00–10:30","Coffee Break","HH Lobby",""
"10:30–12:30","Track A: Stochastic Computation and Complexity, Part I","HH Auditorium","Stefan Heinrich"
"10:30–12:30","Track B: Domain Uncertainty Quantification","HH Ballroom","André-Alexander Zepernick"
"10:30–12:30","Track C: Nested expectations: models and estimators, Part I","HH 002","Arved Bartuska"
"10:30–12:30","Track D: Hardware or Software for (Quasi-)Monte Carlo Algorithms, Part I","WH Auditorium","Sou-Cheng Choi"
"10:30–12:30","Track E: Technical Session 1 - Markov Chain Monte Carlo","WH 115","Philippe Gagnon"
"12:30–14:00","Lunch Break","MTCC Commons",""
"14:00–15:00","Plenary Talk by Christiane Lemieux, U of Waterloo, Golden ratio nets and sequences","HH Auditorium","Nathan Kirk"
"15:00–15:30","Coffee Break","HH Lobby",""
"15:30–17:30","Track F: Stochastic Computation and Complexity, Part II","HH Auditorium","Larisa Yaroslavtseva"
"15:30–17:30","Track G: Recent advances in optimization under uncertainty","HH Ballroom","Phillip A. Guth"
"15:30–17:30","Track H: Computational Methods for Low-discrepancy Sampling and Applications","HH 002","Nathan Kirk"
"15:30–17:30","Track I: Technical Session 4 - Quasi-Monte Carlo, Part I","WH Auditorium","Peter Kritzer"
"15:30–17:30","Track J: Technical Session 12 - PDEs and SDEs","WH 115","Håkon Hoel"
"17:30–19:30","Welcome Reception","HH Lobby",""
"","","HH Lobby",""
