"Monday, 
 July 28","Session","Room","Chair"
"08:00–17:30","Registration Desk Open","X","Y"
"8:45–9:00","Conference Opening","",""
"09:00–10:00 — Morning Plenary Lecture","Matt Pharr","",""
"10:00–10:30 — Coffee Break","Coffee Break","",""
"10:30–12:30 — Morning Parallel Sessions Track A","Stochastic Computation and Complexity, Part I","",""
"10:30–12:30 — Morning Parallel Sessions Track B","Domain Uncertainty Quantification","",""
"10:30–12:30 — Morning Parallel Sessions Track C","Nested expectations: models and estimators, Part I","",""
"10:30–12:30 — Morning Parallel Sessions Track D","Hardware or Software for (Quasi-)Monte Carlo Algorithms, Part I","",""
"10:30-12:30 — Morning Parallel Sessions Track E","Technical Session 1 - Markov Chain Monte Carlo","",""
"12:30–14:00 — Lunch Break","Lunch Break","",""
"14:00–15:00 — Afternoon Plenary Lecture","Christiane Lemieux","",""
"15:00–15:30 — Coffee Break","Coffee Break","",""
"15:30–17:30 — Afternoon Parallel Sessions Track F","Stochastic Computation and Complexity, Part II","",""
"15:30–17:30 — Afternoon Parallel Sessions Track G","Recent advances in optimization under uncertainty","",""
"15:30–17:30 — Afternoon Parallel Sessions Track H","Computational Methods for Low-discrepancy Sampling and Applications","",""
"15:30–17:30 — Afternoon Parallel Sessions Track I","Technical Session 4 - Quasi-Monte Carlo, Part 1","",""
"15:30-17:30 — Afternoon Parallel Sessions Track J","Technical Session 12 - PDEs","",""
"","RECEPTION","",""
