"Tue, Jul 29","Session","Room","Chair"
"08:30–17:30","Registration Desk Open","???","Y"
"09:00–10:00","Plenary Talk by Peter Glynn, Stanford U, Combining Simulation and Linear Algebra: COSIMLA","HH Auditorium","Chang-Han Rhee"
"10:00–10:30","Coffee Break","HH Lobby",""
"10:30–12:30","Track A: Stochastic Computation and Complexity, Part III","HH Auditorium",""
"10:30–12:30","Track B: Next-generation optimal experimental design: theory, scalability, and real world impact: Part I","HH Ballroom",""
"10:30–12:30","Track C: Heavy-tailed Sampling","PH Auditorium",""
"10:30–12:30","Track D: Frontiers in (Quasi-)Monte Carlo and Markov Chain Monte Carlo Methods, Part I","WH Auditorium",""
"10:30-12:30","Track E: Technical Session 2 - Bayesian Methods","HH Alumni Lounge",""
"12:30–14:00","Lunch Break","",""
"14:00–15:00","Plenary Talk by Roshan Joseph, Georgia Institute of Technology, Sensitivity and Screening: From Monte Carlo to Experimental Design","","Simon Mak"
"15:00–15:30","Coffee Break","HH Lobby",""
"15:30–17:30","Track F: Stochastic Computation and Complexity, Part IV","HH Auditorium",""
"15:30–17:30","Track G: Next-generation optimal experimental design: theory, scalability, and real world impact: Part II","HH Ballroom",""
"15:30–17:30","Track H: Advances in Rare Events Simulation","PH Auditorium",""
"15:30–17:30","Track I: Frontiers in (Quasi-)Monte Carlo and Markov Chain Monte Carlo Methods, Part II","WH Auditorium",""
"15:30-17:30","Track J: Technical Session 5 - Quasi-Monte Carlo, Part 2","HH Alumni Lounge",""
