"Tuesday, 
 July 29","Session","Room","Chair"
"08:00–09:00","Registration Desk Open","X","Y"
"09:00–10:00 — Morning Plenary Lecture","Peter Glynn","",""
"10:00–10:30 — Coffee Break","Coffee Break","",""
"10:30–12:30 — Morning Parallel Sessions Track A","Stochastic Computation and Complexity, Part III","",""
"10:30–12:30 — Morning Parallel Sessions Track B","Next-generation optimal experimental design: theory, scalability, and real world impact: Part I","",""
"10:30–12:30 — Morning Parallel Sessions Track C","Heavy-tailed Sampling","",""
"10:30–12:30 — Morning Parallel Sessions Track D","Frontiers in (Quasi-)Monte Carlo and Markov Chain Monte Carlo Methods, Part I","",""
"10:30-12:30 — Morning Parallel Sessions Track E","Technical Session 2 - Bayesian Methods","",""
"12:30–14:00 — Lunch Break","Lunch Break","",""
"14:00–15:00 — Afternoon Plenary Lecture","Roshan Joseph","",""
"15:00–15:30 — Coffee Break","Coffee Break","",""
"15:30–17:30 — Afternoon Parallel Sessions Track F","Stochastic Computation and Complexity, Part IV","",""
"15:30–17:30 — Afternoon Parallel Sessions Track G","Next-generation optimal experimental design: theory, scalability, and real world impact: Part II","",""
"15:30–17:30 — Afternoon Parallel Sessions Track H","Advances in Rare Events Simulation","",""
"15:30–17:30 — Afternoon Parallel Sessions Track I","Frontiers in (Quasi-)Monte Carlo and Markov Chain Monte Carlo Methods, Part II","",""
"15:30-17:30 — Afternoon Parallel Sessions Track J","Technical Session 5 - Quasi-Monte Carlo, Part 2","",""
