"Wed, Jul 30","Session","Room","Chair"
"08:30–16:30","Registration Desk Open","HH Lobby",""
"09:00–10:00","Plenary Talk by Michaela Szölgyenyi, U of Klagenfurt, An optimal transport approach to quantifying model uncertainty of SDEs","HH Auditorium","Gunther Leobacher"
"10:00–10:30","Coffee Break","HH Lobby",""
"10:30–12:30","Track A: Stochastic Computation and Complexity, Part V","HH Auditorium",""
"10:30–12:30","Track B: Statistical Design of Experiments","HH Ballroom",""
"10:30–12:30","Track C: Advances in Adaptive Hamiltonian Monte Carlo","PH Auditorium",""
"10:30–12:30","Track D: Technical Session 15 - Simulation","WH Auditorium",""
"10:30-12:30","Track E: Technical Session 6 - Sampling","HH Alumni Lounge",""
"12:30–14:00","Lunch Break","",""
"14:00–16:00","Track F: Stochastic Optimization","HH Auditorium",""
"14:00–16:00","Track G: Recent Progress on Algorithmic Discrepancy Theory and Applications","HH Ballroom",""
"14:00–16:00","Track H: Monte Carlo Applications in High-performance Computing, Computer Graphics, and Computational Science","PH Auditorium",""
"14:00–16:00","Track I: Technical Session 16 - Statistics","WH Auditorium",""
"14:00–16:00","Track J: Technical Session 10 - Langevin","HH Alumni Lounge",""
"16:00-16:30","Coffee Break","HH Lobby",""
"18:00-20:30","Conference Dinner","Bridgeport Arts Center",""
