"Wednesday,
 July 30","Session","Room","Chair"
"08:30–16:30","Registration Desk Open","HH Lobby",""
"09:00–10:00 — Morning Plenary Lecture","Michaela Szölgyenyi","HH Auditorium","Gunther Leobacher"
"10:00–10:30 — Coffee Break","Coffee Break","HH Lobby",""
"10:30–12:30 — Morning Parallel Sessions Track A","Stochastic Computation and Complexity, Part V","HH Auditorium",""
"10:30–12:30 — Morning Parallel Sessions Track B","Statistical Design of Experiments","HH Ballroom",""
"10:30–12:30 — Morning Parallel Sessions Track C","Advances in Adaptive Hamiltonian Monte Carlo","PH Auditorium",""
"10:30–12:30 — Morning Parallel Sessions Track D","Technical Session 15 - Simulation","WH Auditorium",""
"10:30-12:30 — Morning Parallel Sessions Track E","Technical Session 6 - Sampling","HH Alumni Lounge",""
"12:30–14:00 — Lunch Break","Lunch Break","",""
"14:00–16:00 — Afternoon Parallel Sessions Track F","Stochastic Optimization","HH Auditorium",""
"14:00–16:00 — Afternoon Parallel Sessions Track G","Recent Progress on Algorithmic Discrepancy Theory and Applications","HH Ballroom",""
"14:00–16:00  — Afternoon Parallel Sessions Track H","Monte Carlo Applications in High-performance Computing, Computer Graphics, and Computational Science","PH Auditorium",""
"14:00–16:00  — Afternoon Parallel Sessions Track I","Technical Session 16 - Statistics","WH Auditorium",""
"16:00-16:30 — Coffee Break","Coffee Break","HH Lobby",""
"","//","",""
"18:00-20:30","Conference Dinner","Bridgeport Art Center, 1200 W. 35th Street",""
