"Thu, Jul 31","Session"
"08:30–17:30","Registration Desk Open"
"09:00–10:00","Plenary Talk by Uros Seljak, UC Berkeley, Gradient-Based MCMC Sampl.: Methods and Opt. Strategies"
"10:00–10:30","Coffee Break"
"10:30–12:30","Track A: QMC and Appl. Part I"
"10:30–12:30","Track B: Anal. of Langevin and Related Sampl. Algorithms, Part I"
"10:30–12:30","Track C: Nested expectations: models and estimators, Part II"
"10:30–12:30","Track D: Technical Session 8 - Finance"
"10:30-12:30","Track E: Technical Session 13 - ML \& Opt."
"12:30–14:00","Lunch Break"
"14:00–15:00","Plenary Talk by Nicolas Chopin, Institut Polytechnique de Paris, Saddlepoint MC and its application to exact ecological inference"
"15:00–15:30","Coffee Break"
"15:30–17:30","Track F: QMC and Appl. Part II"
"15:30–17:30","Track G: Anal. of Langevin and Related Sampl. Algorithms, Part II"
"15:30–17:30","Track H: Recent Advances in Stochastic Gradient Descent"
"15:30–17:30","Track I: Technical Session 7 - Sampl."
"15:30-17:30","Track J: Technical Session 11 - SDEs"
"18:00-20:30","Steering Committee Meeting (by invitation)"
