Institution of presenter,Talk Title,FirstNameLastNameAbstract.tex file with Talk Title and Abstract,Special Session Title,Presenter,IsSpecialSession,join_key,SessionTime,SessionID,SessionTitle
North Carolina State University,Goal Oriented Sensor Placement for Infinite-Dimensional Bayesian Inverse Problems,https://drive.google.com/open?id=1XxrrrQF-GFtVv1RmTvRYydKhOI5LPWQZ,"Next-generation optimal experimental design: theory, scalability, and real world impact: Part II",Alen Alexanderian,1,next generation optimal experimental design theory scalability and real world impact part ii,"Tue, Jul 29 15:30–17:30",S13,"Track G: Next-generation optimal experimental design: theory, scalability, and real world impact: Part II"
"University of California, Davis",Finite-Particle Convergence Rates for Stein Variational Gradient Descent,https://drive.google.com/open?id=1iO6sWbXuP-4Ra5IZ4DQR4riDChY9CPKD,"Analysis of Langevin and Related Sampling Algorithms, Part II",Krishnakumar Balasubramanian,1,analysis of langevin and related sampling algorithms part ii,"Thu, Jul 31 15:30–17:30",S26,"Track G: Analysis of Langevin and Related Sampling Algorithms, Part II"
University of New South Wales,"Exact discretization, tight frames and recovery via D-optimal designs",https://drive.google.com/open?id=1knn7LzkUMynCTK6NamJMV5CYrQqiCfNu,QMC and Applications Part I,Felix Bartel,1,qmc and applications part i,"Thu, Jul 31 10:30–12:30",S22,Track A: QMC and Applications Part I
King Abdullah University of Science and Technology/RWTH Aachen University,Efficient expected information gain estimators based on the randomized quasi-Monte Carlo method,https://drive.google.com/open?id=1NflRA0MxtCFhTLw0cJPM1ur56rY9miZA,Recent advances in optimization under uncertainty,Arved Bartuska,1,recent advances in optimization under uncertainty,"Mon, Jul 28 15:30–17:30",S6,Track G: Recent advances in optimization under uncertainty
Heidelberg University,A High-performance Multi-level Monte Carlo Software for Full Field Estimates and Applications in Optimal Control,https://drive.google.com/open?id=19C1LxbAWrP2Z_5SOcQ-h5VoNYyghF9WQ,"Hardware or Software for (Quasi-)Monte Carlo Algorithms, Part II",Niklas Baumgarten,1,hardware or software for quasi monte carlo algorithms part ii,"Fri, Aug 1 09:00–10:30",S29,"Track B: Hardware or Software for (Quasi-)Monte Carlo Algorithms, Part II"
Massachusetts Institute of Technology,Weighted quantization using MMD: From mean field to mean shift via gradient flows,https://drive.google.com/open?id=1VVjEGEjEnDiejQRxRxrvERAWNRXr3Fyr,"Next-generation optimal experimental design: theory, scalability, and real world impact: Part I",Ayoub Belhadji,1,next generation optimal experimental design theory scalability and real world impact part i,"Tue, Jul 29 10:30–12:30",S9,"Track B: Next-generation optimal experimental design: theory, scalability, and real world impact: Part I"
KAUST,Importance Sampling Methods with Stochastic Differential Equations for the Estimation of the Right Tail of the CCDF of the Fade Duration,https://drive.google.com/open?id=1_-mzRHmu4d4lwAxYRRZ0umvhsV3E-L7g,Advances in Rare Events Simulation,Eya Ben Amar,1,advances in rare events simulation,"Tue, Jul 29 15:30–17:30",S14,Track H: Advances in Rare Events Simulation
Stanford University,Inference for Stochastic Gradient Descent with Infinite Variance,https://drive.google.com/open?id=12Z0RcxAHd82qtw9fuI6Aq6QZN5wclL42,Recent Advances in Stochastic Gradient Descent,Jose Blanchet,1,recent advances in stochastic gradient descent,"Thu, Jul 31 15:30–17:30",S27,Track H: Recent Advances in Stochastic Gradient Descent
The University of Texas at Austin,Monte Carlo Based Adaptive Sampling Approaches for Stochastic Optimization,https://drive.google.com/open?id=1N0ObybwLWmQgrphn4B0Kd-DRaTyif3mK,Stochastic Optimization,Raghu Bollapragada,1,stochastic optimization,"Wed, Jul 30 14:00–16:00",S19,Track F: Stochastic Optimization
Rutgers University,Acceleration of the No-U-Turn Sampler,https://drive.google.com/open?id=12kZ9nhCyglwsaxnis1Mwh3kd23kdEIpH,Advances in Adaptive Hamiltonian Monte Carlo,Nawaf Bou-Rabee,1,advances in adaptive hamiltonian monte carlo,"Wed, Jul 30 10:30–12:30",S18,Track C: Advances in Adaptive Hamiltonian Monte Carlo
The University of Tokyo,L2-approximation: using randomized lattice algorithms and QMC hyperinterpolation,https://drive.google.com/open?id=1DSYX5YoF3BtJcuQV6UgJdj2Rf7bq5fQA,QMC and Applications Part I,Mou Cai,1,qmc and applications part i,"Thu, Jul 31 10:30–12:30",S22,Track A: QMC and Applications Part I
University of British Columbia,AutoStep: Locally adaptive involutive MCMC,https://drive.google.com/open?id=10uh1xOOwdSIclbvRR2VTwupqPylVIZKm,Advances in Adaptive Hamiltonian Monte Carlo,Trevor Campbell,1,advances in adaptive hamiltonian monte carlo,"Wed, Jul 30 10:30–12:30",S18,Track C: Advances in Adaptive Hamiltonian Monte Carlo
Flatiron Institute,GIST: Gibbs self-tuning for locally adapting Hamiltonian Monte Carlo,https://drive.google.com/open?id=19otcbTmp8TQAznzeRnh_ZZgbbxhp9PAW,Advances in Adaptive Hamiltonian Monte Carlo,Bob Carpenter,1,advances in adaptive hamiltonian monte carlo,"Wed, Jul 30 10:30–12:30",S18,Track C: Advances in Adaptive Hamiltonian Monte Carlo
Sandia National Laboratories,Robust Bayesian Optimal Experimental Design under Model Misspecification,https://drive.google.com/open?id=1xiS7E1igyDzGjVxK7e1Q4Y37oVsUTtGq,"Next-generation optimal experimental design: theory, scalability, and real world impact: Part II",Tommie Catanach,1,next generation optimal experimental design theory scalability and real world impact part ii,"Tue, Jul 29 15:30–17:30",S13,"Track G: Next-generation optimal experimental design: theory, scalability, and real world impact: Part II"
Massachusetts Institute of Technology,Improving Efficiency of Sampling-based Motion Planning via Message-Passing Monte Carlo,https://drive.google.com/open?id=16bAFFY8B4SCrafXxRQ18w1hDpsXszy4K,Computational Methods for Low-discrepancy Sampling and Applications,Makram Chahine,1,computational methods for low discrepancy sampling and applications,"Mon, Jul 28 15:30–17:30",S7,Track H: Computational Methods for Low-discrepancy Sampling and Applications
"UCLA, Courant Institute",Convergence of Unadjusted Langevin in High Dimensions: Delocalization of Bias,https://drive.google.com/open?id=1ibH9PH4EyiLCpqDesfpWlDyi5ZF0rz2W,"Analysis of Langevin and Related Sampling Algorithms, Part II",Yifan Chen,1,analysis of langevin and related sampling algorithms part ii,"Thu, Jul 31 15:30–17:30",S26,"Track G: Analysis of Langevin and Related Sampling Algorithms, Part II"
New York University,Delocalization of Bias in Unadjusted Hamiltonian Monte Carlo,https://drive.google.com/open?id=1_Pte9kk2tzzrxDEl-FhppFJgKdfIlTsV,"Analysis of Langevin and Related Sampling Algorithms, Part I",Xiaoou Cheng,1,analysis of langevin and related sampling algorithms part i,"Thu, Jul 31 10:30–12:30",S23,"Track B: Analysis of Langevin and Related Sampling Algorithms, Part I"
KAUST: King Abdullah University of Science and Technology (KAUST),Filtered Markovian Projection: Dimensionality Reduction in Filtering for Stochastic Reaction Networks,https://drive.google.com/open?id=1XUx-Sn8OI2yRm0Gpw42Q0nHR4eiUfYkq,Forward and Inverse Problems for Stochastic Reaction Networks,Maksim Chupin,1,forward and inverse problems for stochastic reaction networks,"Fri, Aug 1 09:00–10:30",S28,Track A: Forward and Inverse Problems for Stochastic Reaction Networks
"Department of Mathematics, Univeristy of Washington",Searching Permutations for Constructing Low-Discrepancy Point Sets and Inverstigating the Kritzinger Sequence,https://drive.google.com/open?id=1tpzcVKUifkT2e48SWgBu1LYkWZFfNJvb,Computational Methods for Low-discrepancy Sampling and Applications,François Clément,1,computational methods for low discrepancy sampling and applications,"Mon, Jul 28 15:30–17:30",S7,Track H: Computational Methods for Low-discrepancy Sampling and Applications
University of Warwick,A recursive Monte Carlo approach to optimal Bayesian experimental design,https://drive.google.com/open?id=1_CXPkS38Xk6OMw2K8oCW2wnXf9eh7XG7,"Next-generation optimal experimental design: theory, scalability, and real world impact: Part I",Adrien Corenflos,1,next generation optimal experimental design theory scalability and real world impact part i,"Tue, Jul 29 10:30–12:30",S9,"Track B: Next-generation optimal experimental design: theory, scalability, and real world impact: Part I"
University of Bonn,Quantifying uncertainty in spectral clusterings: expectations for perturbed and incomplete data,https://drive.google.com/open?id=1NockCD0UuXe3GtEIUwY2Pog_9iutBLdr,Domain Uncertainty Quantification,Jürgen Dölz,1,domain uncertainty quantification,"Mon, Jul 28 10:30–12:30",S2,Track B: Domain Uncertainty Quantification
Columbia University,Stochastic Gradient Descent with Adaptive Data,https://drive.google.com/open?id=1RWSnR0LeUlbeuXmRRab33dr82pELo5Ez,Recent Advances in Stochastic Gradient Descent,Jing Dong,1,recent advances in stochastic gradient descent,"Thu, Jul 31 15:30–17:30",S27,Track H: Recent Advances in Stochastic Gradient Descent
University of Edinburgh,Multiple Importance Sampling for Rare Event Simulation in Communication Systems,https://drive.google.com/open?id=1Gi0ikUYlxNfZmRVRHJ2fbRT0Z2xyPH_n,Advances in Rare Events Simulation,Victor Elvira,1,advances in rare events simulation,"Tue, Jul 29 15:30–17:30",S14,Track H: Advances in Rare Events Simulation
Florida State University,Gaining efficiency in Monte Carlo policy gradient methods for stochastic optimal control,https://drive.google.com/open?id=1dmMqrOvC26Z2m_X9h9pqqQ-u2YOQEVsV,"Monte Carlo Applications in High-performance Computing, Computer Graphics, and Computational Science",Arash Fahim,1,monte carlo applications in high performance computing computer graphics and computational science,"Wed, Jul 30 14:00–16:00",S21,"Track H: Monte Carlo Applications in High-performance Computing, Computer Graphics, and Computational Science"
"Academy of Mathematics and Systems Science, Chinese Academy of Sciences",Fixed-budget simulation method for growing cell populations,https://drive.google.com/open?id=1h47WjUTmxhQn1yOCpsILXTEqFCPtkGA1,Forward and Inverse Problems for Stochastic Reaction Networks,Zhou Fang,1,forward and inverse problems for stochastic reaction networks,"Fri, Aug 1 09:00–10:30",S28,Track A: Forward and Inverse Problems for Stochastic Reaction Networks
University of Oxford,CUDA implementation of MLMC on NVIDIA GPUs,https://drive.google.com/open?id=1hFKoyNH9zDlz7tuPtMTKBDZzLG_JlvBl,"Hardware or Software for (Quasi-)Monte Carlo Algorithms, Part I",Mike Giles,1,hardware or software for quasi monte carlo algorithms part i,"Mon, Jul 28 10:30–12:30",S4,"Track D: Hardware or Software for (Quasi-)Monte Carlo Algorithms, Part I"
University of Osnabrueck,Optimality of deterministic and randomized QMC-cubatures on several scales of function spaces,https://drive.google.com/open?id=1XpukrKnI7wbiVGHFSsPi4SlVZdS3F7ay,"Stochastic Computation and Complexity, Part II",Michael Gnewuch,1,stochastic computation and complexity part ii,"Mon, Jul 28 15:30–17:30",S5,"Track F: Stochastic Computation and Complexity, Part II"
The University of Tokyo,Quasi-uniform quasi-Monte Carlo digital nets,https://drive.google.com/open?id=1hp5fTMBSzsDz1-WA86OaLgnqDgH1f-vQ,"Frontiers in (Quasi-)Monte Carlo and Markov Chain Monte Carlo Methods, Part II",Takashi Goda,1,frontiers in quasi monte carlo and markov chain monte carlo methods part ii,"Tue, Jul 29 15:30–17:30",S15,"Track I: Frontiers in (Quasi-)Monte Carlo and Markov Chain Monte Carlo Methods, Part II"
Bocconi University,Parallel computations for Metropolis Markov chains Based on Picard maps,https://drive.google.com/open?id=12v7HA4HX7gy_XGf7Ube-cAQT_n1lRVtB,Heavy-tailed Sampling,Sebastiano Grazzi,1,heavy tailed sampling,"Tue, Jul 29 10:30–12:30",S10,Track C: Heavy-tailed Sampling
"RICAM, Austrian Academy of Sciences",A one-shot method for Bayesian optimal experimental design,https://drive.google.com/open?id=1_LRa9Oe_yRICZ4wbAGcNze7Um6HmhGV0,"Nested expectations: models and estimators, Part II",Philipp Guth,1,nested expectations models and estimators part ii,"Thu, Jul 31 10:30–12:30",S24,"Track C: Nested expectations: models and estimators, Part II"
"Mathematical Institute, University of Oxford",A nested Multilevel Monte Carlo framework for efficient simulations on FPGAs,https://drive.google.com/open?id=1L589RoFfQ0qyj6BWF0RjqiyE_Agj5tX7,"Hardware or Software for (Quasi-)Monte Carlo Algorithms, Part I",Irina-Beatrice Haas,1,hardware or software for quasi monte carlo algorithms part i,"Mon, Jul 28 10:30–12:30",S4,"Track D: Hardware or Software for (Quasi-)Monte Carlo Algorithms, Part I"
Heriot-Watt University,An Adaptive Sampling Algorithm for Level-set Approximation,https://drive.google.com/open?id=1zOub0plkorLwFglXuIhC34iIj7-ZmlI6,"Nested expectations: models and estimators, Part I",Abdul Lateef Haji Ali,1,nested expectations models and estimators part i,"Mon, Jul 28 10:30–12:30",S3,"Track C: Nested expectations: models and estimators, Part I"
Aalto University,Model Problems for PDEs on Uncertain Domains,https://drive.google.com/open?id=19bU1Cf00MI1HfsDRQd6P7uUVVH9-6oA5,Domain Uncertainty Quantification,Harri Hakula,1,domain uncertainty quantification,"Mon, Jul 28 10:30–12:30",S2,Track B: Domain Uncertainty Quantification
South China University of Technology,High-dimensional density estimation on  unbounded domain,https://drive.google.com/open?id=1iXKOrEqlFtJYcepCvz8G1aBcuS6QqF2o,QMC and Applications Part I,Zhijian He,1,qmc and applications part i,"Thu, Jul 31 10:30–12:30",S22,Track A: QMC and Applications Part I
"RPTU Kaiserslautern-Landau,  Germany",On the quantum complexity of parametric integration in Sobolev spaces,https://drive.google.com/open?id=17Q53HNXiFcDDEgVEkc28xY5HzAbqwfKF,"Stochastic computation and complexity, Part V",Stefan Heinrich,1,stochastic computation and complexity part v,"Wed, Jul 30 10:30–12:30",S16,"Track A: Stochastic Computation and Complexity, Part V"
LUT University,Stability of Expected Utility in Bayesian Optimal Experimental Design,https://drive.google.com/open?id=1lMQvQhOmIaoCFQ2TzUjdOGJnefvon_gd,Recent advances in optimization under uncertainty,Tapio Helin,1,recent advances in optimization under uncertainty,"Mon, Jul 28 15:30–17:30",S6,Track G: Recent advances in optimization under uncertainty
Cornell University,A New Convergence Analysis of Two Stochastic Frank-Wolfe Algorithms,https://drive.google.com/open?id=1Ilb6WoOjf1Hz_FTf9kQ6LX8UCs0tkIDZ,Stochastic Optimization,Shane Henderson,1,stochastic optimization,"Wed, Jul 30 14:00–16:00",S19,Track F: Stochastic Optimization
"Chair of Mathematics for Uncertainty Quantification, Department of Mathematics, RWTH- Aachen University",Posterior-Free A-Optimal Bayesian Design of Experiments via Conditional Expectation,https://drive.google.com/open?id=1jrmemZ1uwIHM7hYU7RLNlbzP-7cvDVga,"Nested expectations: models and estimators, Part I",Vinh Hoang,1,nested expectations models and estimators part i,"Mon, Jul 28 10:30–12:30",S3,"Track C: Nested expectations: models and estimators, Part I"
University of Michigan,Optimal Pilot Sampling for Multi-fidelity Monte Carlo Methods,https://drive.google.com/open?id=1Z2vn1mDXSYMhGv_uWJctxNvna4fQzmLY,"Next-generation optimal experimental design: theory, scalability, and real world impact: Part I",Xun Huan,1,next generation optimal experimental design theory scalability and real world impact part i,"Tue, Jul 29 10:30–12:30",S9,"Track B: Next-generation optimal experimental design: theory, scalability, and real world impact: Part I"
Work done during C. Huang's Ph.D. studies at Georgia Institute of Technology,Factor Importance Ranking and Selection using Total Indices,https://drive.google.com/open?id=13XqFaiCTd_coQ6NsXhLrh3WpDvSlgByV,Statistical Design of Experiments,Chaofan Huang,1,statistical design of experiments,"Wed, Jul 30 10:30–12:30",S17,Track B: Statistical Design of Experiments
INRIA,Diffusion-Based Bayesian Experimental Design: Advancing BED for Practical Applications,https://drive.google.com/open?id=1AF7zo3LYoFZwOMyHSgAoBGbsxZaw10sx,"Next-generation optimal experimental design: theory, scalability, and real world impact: Part II",jacopo iollo,1,next generation optimal experimental design theory scalability and real world impact part ii,"Tue, Jul 29 15:30–17:30",S13,"Track G: Next-generation optimal experimental design: theory, scalability, and real world impact: Part II"
