"Ally Kwan And Lijia Lin","","","","Illinois Institute of Technology, Foothill College and Johns Hopkins University",0,"",""
"Jimmy Nguyen And Anders  Pride","","","","University of California, Irvine, Illinois Institute of Technology",0,"",""
"Kazeem","Adeleke","T16-1","","University of the West of England",0,"",""
"Alen","Alexanderian","S13","","North Carolina State University",0,"",""
"Alen","Alexanderian","TueMorning","","North Carolina State University",1,"",""
"Miguel","Alvarez","T12-2","","King Abdullah University of Science and Technology",0,"",""
"Nicole","Aretz","T15-4","","University of Texas at Austin",0,"",""
"Nicole","Aretz","FriMorning","","University of Texas at Austin",1,"",""
"Matyokub","Bakoev","T8-2","","MGIMO, Tashkent",0,"",""
"Krishnakumar","Balasubramanian","S23","","University of California, Davis",0,"",""
"Nikhil","Bansal","S11","","University of Michigan, Ann Arbor",0,"",""
"Felix","Bartel","S22","","University of New South Wales",0,"",""
"Arved","Bartuska","S3","","King Abdullah University of Science and Technology/RWTH Aachen University",0,"Organizer1","Arved Bartuska"
"Arved","Bartuska","S24","","King Abdullah University of Science and Technology/RWTH Aachen University",0,"Organizer1","Arved Bartuska"
"Arved","Bartuska","S6","","King Abdullah University of Science and Technology/RWTH Aachen University",0,"",""
"Arved","Bartuska","MonMorning","","King Abdullah University of Science and Technology/RWTH Aachen University",1,"",""
"Niklas","Baumgarten","S29","","University of Heidelberg",0,"",""
"Ayoub","Belhadji","S9","","Massachusetts Institute of Technology",0,"",""
"Eya","Ben Amar","S14","","King Abdullah University of Science and Technology",0,"",""
"Jose","Blanchet","S27","","Stanford University",0,"",""
"Frédéric","Blondeel","T13-1","","Kuleuven and Unife",0,"",""
"Frédéric","Blondeel","ThuMorning","","Kuleuven and Unife",1,"",""
"Philippe","Blondeel","T15-1","","Belgian Military Academy",0,"",""
"Andrews","Boahen","S17","","Michigan State University",0,"",""
"Raghu","Bollapragada","S19","","University of Texas at Austin",0,"",""
"Nawaf","Bou-Rabee","S18","","Rutgers University",0,"",""
"Arne","Bouillon","T6-2","","KU Leuven",0,"",""
"Nicola","Branchini","S14","","University of Edinburgh",0,"",""
"Nicola","Branchini","WedMorning","","University of Edinburgh",1,"",""
"Mou","Cai","S22","","University of Tokyo",0,"",""
"Trevor","Campbell","S18","","University of British Columbia",0,"",""
"Bob","Carpenter","S18","","Flatiron Institute",0,"",""
"Stefano Cartab","Cartabia","","","KU Leuven",1,"",""
"Thomas","Cass","T12-4","","Imperial College London",0,"",""
"Tommie","Catanach","S13","","Sandia National Laboratories",0,"",""
"Makram","Chahine","S7","","Massachusetts Institute of Technology",0,"",""
"Jean-Francois","Chassagneux","S8","","ENSAE Paris",0,"",""
"Jiaheng","Chen","","","University of Chicago",1,"",""
"Yifan","Chen","S23","","New York University",0,"Organizer1","Yifan Chen"
"Yifan","Chen","S26","","New York University",0,"Organizer1","Yifan Chen"
"Yifan","Chen","ThuAfternoon","","New York University",1,"",""
"Xiaoou","Cheng","S23","","New York University",0,"Organizer2","Xiaoou Cheng"
