SessionID,SessionTitle,IsSpecialSession,Organizer1,Organizer2,Organizer3,Chair,SessionTime,Room,OrderInSchedule
P1,Plenary Talk by Rohan Sawhney,0,,,,,"Mon, Jul 28 09:00–10:00",,1
S1,"Track A: Stochastic Computation and Complexity, Part I",1,Stefan Heinrich,Thomas Muller-Gronbach,Larisa Yaroslavtseva,,"Mon, Jul 28 10:30–12:30",,2
S2,Track B: Domain Uncertainty Quantification,1,André-Alexander Zepernick,Philipp Guth,Vesa Kaarnioja,,"Mon, Jul 28 10:30–12:30",,3
S3,"Track C: Nested expectations: models and estimators, Part I",1,Arved Bartuska,Abdul-Lateef Haji-Ali,Raúl Tempone,,"Mon, Jul 28 10:30–12:30",,4
S4,"Track D: Hardware or Software for (Quasi-)Monte Carlo Algorithms, Part I",1,Sou-Cheng Choi,Pieterjan Robbe,Mike Giles,,"Mon, Jul 28 10:30–12:30",,5
T1,Track E: Technical Session 1 - Markov Chain Monte Carlo,0,,,,,"Mon, Jul 28 10:30-12:30",,6
P2,"Plenary Talk by Christiane Lemieux, U of Waterloo, Golden ratio nets and sequences",0,,,,,"Mon, Jul 28 14:00–15:00",,7
S5,"Track F: Stochastic Computation and Complexity, Part II",1,Stefan Heinrich,Thomas Muller-Gronbach,Larisa Yaroslavtseva,,"Mon, Jul 28 15:30–17:30",,8
S6,Track G: Recent advances in optimization under uncertainty,1,Philipp A. Guth,Vesa Kaarnioja,- -,,"Mon, Jul 28 15:30–17:30",,9
S7,Track H: Computational Methods for Low-discrepancy Sampling and Applications,1,Nathan Kirk,François Clément,,,"Mon, Jul 28 15:30–17:30",,10
T4,"Track I: Technical Session 4 - Quasi-Monte Carlo, Part 1",0,,,,,"Mon, Jul 28 15:30–17:30",,11
T12,Track J: Technical Session 12 - PDEs,0,,,,,"Mon, Jul 28 15:30-17:30",,12
P3,"Plenary Talk by Peter Glynn, Stanford U, Combining Simulation and Linear Algebra: COSIMLA",0,,,,,"Tue, Jul 29 09:00–10:00",,13
S8,"Track A: Stochastic Computation and Complexity, Part III",1,Stefan Heinrich,Thomas Muller-Gronbach,Larisa Yaroslavtseva,,"Tue, Jul 29 10:30–12:30",,14
S9,"Track B: Next-generation optimal experimental design: theory, scalability, and real world impact: Part I",1,Florence Forbes,Xun Huan,Youssef Marzouk,,"Tue, Jul 29 10:30–12:30",,15
S10,Track C: Heavy-tailed Sampling,1,Alex Shestopaloff,Jun Yang,,,"Tue, Jul 29 10:30–12:30",,16
S11,"Track D: Frontiers in (Quasi-)Monte Carlo and Markov Chain Monte Carlo Methods, Part I",1,Sou-Cheng Choi,Yuhan Ding,,,"Tue, Jul 29 10:30–12:30",,17
T2,Track E: Technical Session 2 - Bayesian Methods,0,,,,,"Tue, Jul 29 10:30-12:30",,18
P4,"Plenary Talk by Roshan Joseph, Georgia Institute of Technology, Sensitivity and Screening: From Monte Carlo to Experimental Design",0,,,,,"Tue, Jul 29 14:00–15:00",,19
S12,"Track F: Stochastic Computation and Complexity, Part IV",1,Stefan Heinrich,Thomas Muller-Gronbach,Larisa Yaroslavtseva,,"Tue, Jul 29 15:30–17:30",,20
S13,"Track G: Next-generation optimal experimental design: theory, scalability, and real world impact: Part II",1,Florence Forbes,Xun Huan,Youssef Marzouk,,"Tue, Jul 29 15:30–17:30",,21
S14,Track H: Advances in Rare Events Simulation,1,Nadhir Ben Rached,Shyam Mohan Subbiah Pillai,Raúl Tempone,,"Tue, Jul 29 15:30–17:30",,22
S15,"Track I: Frontiers in (Quasi-)Monte Carlo and Markov Chain Monte Carlo Methods, Part II",1,Sou-Cheng Choi,Yuhan Ding,,,"Tue, Jul 29 15:30–17:30",,23
T5,"Track J: Technical Session 5 - Quasi-Monte Carlo, Part 2",0,,,,,"Tue, Jul 29 15:30-17:30",,24
P5,"Plenary Talk by Michaela Szölgyenyi, U of Klagenfurt, An optimal transport approach to quantifying model uncertainty of SDEs",0,,,,,"Wed, Jul 30 09:00–10:00",,25
S16,"Track A: Stochastic Computation and Complexity, Part V",1,Stefan Heinrich,Thomas Muller-Gronbach,Larisa Yaroslavtseva,,"Wed, Jul 30 10:30–12:30",,26
S17,Track B: Statistical Design of Experiments,1,Lulu Kang,Chunfang Lin,,,"Wed, Jul 30 10:30–12:30",,27
S18,Track C: Advances in Adaptive Hamiltonian Monte Carlo,1,Art Owen,,,,"Wed, Jul 30 10:30–12:30",,28
T15,Track D: Technical Session 15 - Simulation,0,,,,,"Wed, Jul 30 10:30–12:30",,29
T6,Track E: Technical Session 6 - Sampling,0,,,,,"Wed, Jul 30 10:30-12:30",,30
S19,Track F: Stochastic Optimization,1,Shane Henderson,,,,"Wed, Jul 30 14:00–16:00",,31
S20,Track G: Recent Progress on Algorithmic Discrepancy Theory and Applications,1,Haotian Jiang,,,,"Wed, Jul 30 14:00–16:00",,32
S21,"Track H: Monte Carlo Applications in High-performance Computing, Computer Graphics, and Computational Science",1,Michael Mascagni,,,,"Wed, Jul 30 14:00–16:00",,33
T16,Track I: Technical Session 16 - Statistics,0,,,,,"Wed, Jul 30 14:00–16:00",,34
T10,Track J: Technical Session 10 - Langevin,0,,,,,"Wed, Jul 30 14:00–16:00",,35
P6,"Plenary Talk by Uros Seljak, UC Berkeley, Gradient-Based MCMC Sampling: Methods and Optimization Strategies",0,,,,,"Thu, Jul 31 09:00–10:00",,36
S22,Track A: QMC and Applications Part I,1,Michael Gnewuch,Takashi Goda,Peter Kritzer,,"Thu, Jul 31 10:30–12:30",,37
S23,"Track B: Analysis of Langevin and Related Sampling Algorithms, Part I",1,Yifan Chen,Xiaoou Cheng,Jonathan Weare,,"Thu, Jul 31 10:30–12:30",,38
S24,"Track C: Nested expectations: models and estimators, Part II",1,Arved Bartuska,Abdul-Lateef Haji-Ali,Raúl Tempone,,"Thu, Jul 31 10:30–12:30",,39
T8,Track D: Technical Session 8 - Finance,0,,,,,"Thu, Jul 31 10:30–12:30",,40
T13,Track E: Technical Session 13 - ML \& Optimization,0,,,,,"Thu, Jul 31 10:30-12:30",,41
P7,"Plenary Talk by Nicolas Chopin, Institut Polytechnique de Paris, Saddlepoint Monte Carlo and its application to exact ecological inference",0,,,,,"Thu, Jul 31 14:00–15:00",,42
S25,Track F: QMC and Applications Part II,1,Michael Gnewuch,Takashi Goda,Peter Kritzer,,"Thu, Jul 31 15:30–17:30",,43
